German,English
ich,I
sie,she
das,that
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,weather
was,What
zu,to
er,he
ein,one
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,on
bin,am
noch,still
nur,only
da,there
dir,to you
sich,himself
einen,a
uns,US
hast,have
dem,to the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,being
mal,just
jetzt,now
ihn,him
dann,then
aus,out
meine,my
um,around
im,in the
wird,will
mein,my
bist,are you
doch,indeed
alles,everything
weiß,White
keine,none
oder,or
nach,after
s,s
nichts,Nothing
man,one
muss,got to
werden,will
will,want
ihnen,you
geht,goes
wo,Where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
können,be able
wieder,again
sagen,to say
machen,do
danke,thank you
sehr,very
alle,Everyone
denn,then
mann,husband
tun,to do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,their
diese,this
euch,you
einer,a
komm,come
über,over
gibt,are
okay,OK
wissen,to know
deine,your
müssen,have to
soll,target
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,a lot
weg,path
würde,would
tut,does
am,at the
des,of
einfach,simple
leben,Life
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,in order to
ganz,all
wäre,would
wollte,wanted
weißt,whisper
ok,OK
sicher,secure
gesagt,said
frau,Mrs
nun,well
bis,until
wurde,would
leid,suffering
na,n / A
kannst,can
macht,power
dieser,this
zurück,back
lassen,leave
hallo,Hi
meinen,think
gott,God
seine,his
hätte,had
zwei,two
könnte,could
genau,I agree
waren,was
zur,to the
lass,let
klar,clear
morgen,tomorrow
leute,People
vater,father
schön,Nice
glaube,faith
mr.,mr.
ab,away
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,none
mutter,mother
raus,Out
gemacht,did
paar,pair
mach,make up
passiert,happens
dachte,thought
besser,better
musst,must
wieso,how so
sir,sir
dieses,this
selbst,self
gehört,heard
möchte,would like
ohne,without
hör,hear
her,on
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,become
lange,Long
natürlich,Naturally
ach,Oh
meinem,my
gar,at all
ins,into the
sei,may be
dort,there
weiter,further
geben,give
seit,since
gleich,same
sagt,says
recht,law
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,Listen
sieht,sees
davon,of that
dafür,Therefore
geh,go
diesem,This
wegen,because
hause,home
sollten,should
mädchen,girl
hin,there
sollen,should
abend,Eve
haus,House
denke,think
viele,lots
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,People
essen,meal
angst,fear
bleiben,remain
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,Right
nehmen,to take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,to need
gegen,against
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,work
seid,are
ihrer,of their
fragen,questions
herr,Mister
dabei,included
heißt,is called
familie,family
warten,wait
niemand,nobody
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,when
brauche,need
fertig,done
halt,stop
allein,alone
beim,at the
sprechen,to speak
beide,both
gefunden,found
hatten,had
sache,matter
hilfe,help
verdammt,Damn it
ne,ne
jeder,everyone
warst,wicked
gern,gladly
konnte,could
darüber,about it
halten,keep
siehst,see
verstehe,understand
jahren,Years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,to it
ihrem,Yours
denken,think
könnten,could
dank,thanks to
würden,would
lieber,rather
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,your
vergessen,forget
frage,ask
mache,make
komme,come
sage,legend
mag,like
sieh,look
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,Clock
stadt,city
männer,Men
baby,infant
fahren,drive
namen,name
bekommen,to get
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,happiness
letzte,last
freunde,friends
n,n
all,Alles
darauf,thereon
ende,end
dr.,Dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
